OraclePn,ProdNum,ProcName,JobNum,ScrewNum
22191004,1-01763,Assy2,121,4
22191004,1-01763,Assy3,121,4
22191004,1-01763,Assy4,121,4
22191004,1-01763,WSS_INT_EndFaceInspection,121,4
22222625-001,1-01933,WSS_INT_LC_MECH_Assy04,122,6
22222865-004,1-01953,WSS_INT_MT_MECH_Assy04,121,4
22222865-003,1-01941,WSS_INT_LC_MECH_Assy04,121,4
22222625-004,1-01958,WSS_INT_LC_MECH_Assy04,121,4
22222625-007,1-01980,WSS_INT_MT_MECH_Assy04,121,4
22222865-001,1-02025,WSS_INT_MT_MECH_Assy04,120,4
22222865-002,1-02026,WSS_INT_MT_MECH_Assy04,120,4
22220760-002,1-01937,WSS_INT_LC_MECH_Assy04,121,4
22220766-001,1-01938,WSS_INT_MT_MECH_Assy04,121,4
22220760-001,1-01978,WSS_INT_MT_MECH_Assy04,120,4
22220760-003,1-01979,WSS_INT_LC_MECH_Assy04,120,4
22220760-004,1-01986,WSS_INT_MT_MECH_Assy04,121,4
22220766-002,1-02030,WSS_INT_MT_MECH_Assy04,121,4
22220760-005,1-02029,WSS_INT_LC_MECH_Assy04,121,4
22306045-001,1-02036,WSS_INT_LC_MECH_Assy04,121,4
22306045,1-02062,WSS_INT_LC_MECH_Assy04,121,4
